"sample","(+)-catechin","(-)-Epicatechin gallate","(-)-Epigallocatechin gallate","(-)-Lyoniresinol 9'-O-glucoside","(2R,3S)-trans-epsilon-viniferin","(2R,3S,4S,5R,6R)-6-[1,7-bis(4-hydroxyphenyl)heptan-3-yloxy]-5-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-2-(hydroxymethyl)oxane-3,4-diol","(2R,3S,4S,5R,6S)-2-[[(2S,3R,4R)-3,4-Dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol","(2r,3r,4s,5s,6r)-2-[1,7-bis(4-hydroxyphenyl)heptan-3-yloxy]-6-(hydroxymethyl)oxane-3,4,5-triol","1,2,3,4-tetrahydroisoquinoline-5-carboxylic acid","1,7-bis(4-hydroxyphenyl)-5-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyheptan-3-one","1-(3-Hydroxy-3-methyl-pent-4-enyl)-2,5,5,8a-tetramethyl-decahydro-naphthalen-2-ol","1-O-palmitoyl-sn-glycero-3-phosphocholine","1-Oleoylglycerophosphocholine","1-Palmitoylglycerophosphocholine","1-[2,4-Dihydroxy-6-methoxy-3-(3-methyl-2-buten-1-yl)phenyl]-3-(4-hydroxyphenyl)-2-propen-1-one","11-oxo-alpha-amyrin","1247-97-8","133164-11-1","137038-13-2","1453-93-6","16290-07-6","17353-03-6","19833-12-6","2-(QUINOLIN-3-YL)ACETIC ACID","2-methyl-2-(piperidin-3-yl)propanoic acid","2-methylquinoline-8-carboxylic Acid","3''-O-L-Rhamnopyranosylastragalin","3,5,5-Trimethyl-4-[3-(beta-D-glucopyranosyloxy)butyl]-2-cyclohexene-1-one","3,5,5-Trimethyl-4beta-hydroxy-4-[3-(beta-D-glucopyranosyloxy)-1-butenyl]-2-cyclohexene-1-one","3-(3-methylpiperidin-4-yl)propanoic acid","3-Cyclopropylquinoline-2-carboxylic acid","3-Hydroxy-11-ursen-28,13-olide","3-Methoxynobiletin","3-Rha(1-2)Gal(1-2)GluA-Soyasaponenol B","3-[(2S,4S,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-Dihydroxy-6-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one","35700-51-7","4-methylquinoline-3-carboxylic acid","5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one","5-(6-Methyl-6-hydroxyheptyl)furan-2(5H)-one","6-Hydroxyluteolin 7-glucoside","69-53-4","71606-07-0","72036-50-1","8-[3-oxo-2-[(E)-pent-2-enyl]cyclopenten-1-yl]octanoic acid","8-[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]-5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one","89576-29-4","Acanthoside B","Aceroside VIII","Avobenzone","CHEBI:181716","CHEBI:182811","CHEBI:182999","CHEMBL4471702","Camelliaside A","Capsaicin","Cer 18:0;3O/16:0;O","Cer 18:1;2O/16:0","Cer 18:1;2O/16:0;O","Cer 18:1;3O/24:0;O","Cer 20:2;2O/18:1","Cer 20:3;2O/18:2","Cer 34:0;4O","Cer 34:1;2O","Cer 34:1;3O","Cer 38:3;2O","Cer 38:5;2O","Cer 42:1;4O","Corymboside","Cynaroside","DG 12:0/12:0","DG 16:0_18:1","DG 18:0_18:1","DG 18:1_18:2","DG 24:0","DG 34:1","DG 36:1","DG 36:3","DIHYDROACTINIDIOLIDE","Dihydrocapsaicin","Dioctyl phthalate","Genistein 8-C-glucoside","Gossypin","Heraclenol","Hex2Cer 18:1;2O/16:0","HexCer 18:1;2O/16:0;O","HexCer 18:1;2O/29:10","HexCer 18:2;2O/16:0;O","HexCer 18:2;2O/16:1","HexCer 18:2;2O/18:0;O","HexCer 18:2;2O/18:1","HexCer 19:2;2O/18:1","HexCer 19:2;2O/28:9","HexCer 19:3;2O/15:0","HexCer 19:3;2O/17:0","HexCer 34:1;3O","HexCer 34:2;3O","HexCer 34:3;2O","HexCer 36:2;3O","HexCer 36:3;2O","HexCer 37:3;2O","HexCer 47:11;2O","Homodihydrocapsaicin I","Icariside F2","Isomeranzin","Isoquercitrin","Isoxanthohumol(Sophora)","LPC 12:0","LPC 14:0","LPC 16:0","LPC 16:1","LPC 18:1","LPC 18:2","LPC 20:4","LPE 12:0","LPE 13:0","LPE 14:0","LPE 14:1","LPE 15:0","LPE 16:0","LPE 16:1","LPE 17:0","LPE 17:1","LPE 18:0","LPE 18:1","MEGxp0_000125","MEGxp0_000300","MEGxp0_001390","MEGxp0_001411","MGDG 16:0_18:2","MGDG 34:2","MLS000876823","Megastigm-5-en-4-one 9-glucoside","Meloside A","Meranzin","Meranzin hydrate","Myricetin 3-O-galactoside","N-lactoyl-phenylalanine","NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid","NCGC00381022-01","NCGC00384577-01","NCGC00384730-01","NCGC00384749-01!2-[[5-(4-hydroxy-3,5-dimethoxyphenyl)-6,7-bis(hydroxymethyl)-1,3-dimethoxy-5,6,7,8-tetrahydronaphthalen-2-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol","NCGC00384791-01!7-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5-hydroxychromen-4-one","NONIVAMIDE","Nordihydrocapsaicin","Octocrylene","Oxypeucedanin hydrate","PC 18:1/18:1","PC 18:2/18:2","PC 26:0","PC 28:0","PC 30:0","PC 30:1","PC 31:1","PC 32:1","PC 32:2","PC 34:1","PC 34:2","PC 34:3","PC 34:4","PC 36:1","PC 36:2","PC 36:3","PC 36:4","PC 36:5","PC 36:6","PC O-28:1","PC O-30:1","PC O-31:1","PC O-32:1","PC O-34:2","PC O-34:3","PC O-36:3","PC O-42:2","PE 30:0","PE 31:0","PE 32:1","PE 34:1","Phenylethyl primeveroside","Piperanine","Piperlonguminine","Procyanidin B1","Procyanidin B3","Protopanaxadiol","Quercetin 3-O-robinobioside","Quercimeritrin","Quinolin-8-yl-acetic acid","RUTIN","Rhodiosin","SCHEMBL424527","SM 32:1;2O","SM 33:1;2O","SM 33:1;3O","SM 34:0;3O","SM 34:1;2O","SM 34:1;3O","SPB 13:3;2O","SPB 14:0;2O","SPB 16:0;2O","SPB 16:1;2O","SPB 16:1;3O","SPB 17:1;2O","SPB 17:1;3O","SPB 18:0;2O","SPB 18:0;3O","SPB 18:1;2O","SPB 18:1;3O","SPB 18:2;2O","SPB 18:2;3O","SPB 19:0;2O","SPB 19:1;2O","SPB 19:1;3O","SPB 20:0;2O","SPB 20:1;2O","SPB 20:1;3O","SPB 24:0;2O","SPB 25:0;2O","SPB 26:0;2O","Saponarin","Sayaendoside","Schaftoside","Sinocrassoside C1","Soyasaponin Ba","Soyasaponin I","Sphinganine","TG 14:0_16:0_18:0","TG 16:0_18:1_18:1","TG 48:0","TG 52:2","TRIETHYL CITRATE","Tert-butyl N-[2-(1H-indol-3-yl)-1-(methylcarbamoyl)ethyl]carbamate","Trifolin","Vicenin 2","Vicenin 3","Vicenin-1","Visnagin","Xanthohumol","Zucapsaicin","[1-MYRISTOYL-GLYCEROL-3-YL]PHOSPHONYLCHOLINE","berberine","cholic acid","gabapentin","n-vanillyldecanamide","piperine","quercetin 3-O-glucuronide","sphingosine"
"01_41343",91620000,135480000,9320000,0,0,7010000,15670000,0,4214000,0,13068000,261070000,150830000,191630000,18504000,846000,0,0,302800000,240900000,0,0,26880000,0,8274000,0,0,1676580000,4387000,4137000,3780800,4770000,32810000,0,0,3840000,0,0,922900,0,8729000,79692000,38190000,79692000,26169000,24360000,454200000,10515000,0,0,3324000,2318000,67740000,0,78240000,0,1748000,646400,1524000,2083000,0,0,1748000,646400,2083000,0,1524000,0,0,0,741100,2855000,0,0,741100,2855000,0,0,9644000,0,0,53760000,0,0,0,0,2332000,2363000,0,0,0,0,2363000,0,0,2332000,2363000,0,0,0,0,75580000,1374200,9240000,0,12336000,4765000,0,45270000,0,10830000,5988000,0,1264000,0,30490000,0,0,68750000,33750000,0,17027000,11590000,12180000,24381000,0,0,13662000,522400,522400,0,279430000,26169000,3080000,3080000,8960000,0,0,0,13662000,0,0,0,5640000,13160000,0,0,12460000,1684000,0,0,23780000,2857000,0,0,8596000,25424000,681800,0,0,5693200,16615100,1589000,1684000,1625000,0,3928000,7149000,0,0,0,0,13150000,0,0,0,2223000,0,13662000,0,35330000,0,0,553440000,0,0,0,0,0,0,0,2738000,726500,1693000,16861800,1078000,1581000,0,0,1944000,0,4001000,1245000,6880000,24120000,0,0,1185000,0,0,0,0,6357000,12130000,0,59900000,1332000,718500,34892000,13662000,0,0,0,0,34400000,703900,553300,703900,553300,5076000,36330000,0,0,0,0,9679000,0,52160000,0,20510000,12852000,16548000,14466000,36510000,0,13105000
"02_40544",50508000,0,8275000,0,0,3690000,13951000,0,5188000,0,20388000,147425000,38920000,109305000,0,0,0,0,243480000,89948600,0,0,15567000,0,4614000,0,0,1134780000,0,2307000,0,4620000,30850000,0,0,1077600,0,0,4786000,0,6290000,56022000,19062000,56022000,21432000,14914000,365220000,5535000,0,0,2300000,1146400,0,0,14376000,0,881600,0,1611000,982700,0,0,881600,0,982700,0,1611000,0,0,345200,710300,1148000,0,345200,710300,1148000,0,6676000,0,0,0,31134000,0,968200,0,968200,1346000,1685000,0,337900,0,968200,1685000,337900,0,1346000,1685000,0,337900,0,968200,13330000,1275200,8232000,0,0,0,0,25673000,4465000,4865000,3096000,0,855100,0,39582000,0,0,57700000,28884000,0,7656000,11640000,7457000,21879000,0,0,14564000,747100,747100,0,189130000,21432000,2744000,2744000,5189000,0,0,0,14564000,0,0,0,0,0,0,0,2720200,2676000,0,0,19460000,1919000,0,0,5607000,27954000,596100,0,0,6433400,5133600,0,2676000,0,0,4267000,3973000,0,0,0,0,5016000,0,0,0,0,0,14564000,3615200,23510000,0,0,102537200,0,0,0,0,0,0,473900,2776000,829700,1271000,8398000,2158800,1648000,0,0,1685000,0,2152000,1093000,2335000,7511000,2471000,0,0,0,0,0,0,4160000,10170000,0,63570000,0,0,28576000,14564000,0,0,0,0,11675000,839400,552900,839400,552900,7396000,22278000,0,0,0,0,5798000,0,9584000,0,20330000,5181000,9228000,0,30160000,0,25367000
"03_41370",361536000,9988000,23520000,0,0,15036000,27165000,0,5118000,0,10236000,145030000,121990000,112470000,65040000,0,0,0,175720000,181125400,0,36760000,18108000,0,7298000,0,36760000,1945800000,5520000,3649000,3967600,8748000,33850000,0,0,0,0,0,1537000,0,12820000,45755000,43380000,45755000,27786000,16020000,263580000,22554000,0,0,4694000,1413200,4994000,0,0,0,1395000,4125000,1626000,854700,0,0,1395000,4125000,854700,0,1626000,0,0,0,746100,1383000,0,0,746100,1383000,0,9768000,5256000,0,0,36216000,0,605600,0,605600,1771000,1325000,0,551800,1151000,605600,1325000,551800,0,1771000,1325000,0,551800,1151000,605600,43350000,3910000,17718000,0,43360000,2992000,0,25750000,0,7290000,3638000,0,1333000,0,32337000,0,0,71950000,27405000,0,12045000,13280000,8010000,42273000,0,0,17248000,777600,777600,36760000,324300000,27786000,5906000,5906000,6036000,0,0,0,17248000,36760000,0,36760000,6450000,15050000,0,0,2198300,1697000,0,0,13160000,1681000,0,663200,2750000,14945000,793100,0,0,1537100,6859100,719600,1697000,1046000,0,7884000,11380000,0,0,0,0,4717000,615800,0,0,537900,0,17248000,4880000,34870000,0,0,148272400,0,0,0,0,0,0,2050000,1337000,1371000,509000,6966700,1469000,2235000,0,0,2052000,0,3289000,1752000,5057000,15710000,2608000,0,1936000,1837000,0,1632000,0,9804000,8609000,0,50790000,1684000,563700,37048000,17248000,0,0,0,0,25285000,661900,672000,661900,672000,10668000,18648000,0,0,0,0,8800000,0,0,0,38230000,8985000,14596000,7884000,1.5e+07,0,41676000
"04_41359",314820000,0,9750000,0,0,4700000,25746000,0,7964000,0,18072000,194390000,115614000,148310000,0,0,0,0,245360000,229827200,0,16060000,19026000,0,6524000,0,16060000,1429200000,3460000,3262000,3404000,5970000,37270000,0,0,2060000,0,0,0,0,10540000,77618000,33150000,77618000,32940000,28180000,368040000,7050000,0,0,3960000,0,0,0,72420000,0,2098000,0,1539000,1351000,0,0,2098000,0,1351000,0,1539000,0,0,550900,732700,2378000,0,550900,732700,2378000,0,12544000,0,0,0,38052000,0,673500,0,673500,2286000,2582000,0,0,0,673500,2582000,0,0,2286000,2582000,0,0,0,673500,67650000,2352000,15234000,0,0,4181000,0,34270000,0,7573000,3895000,0,1240000,0,37090000,0,0,104770000,34900000,0,15457000,8055000,14090000,41441000,0,0,27520000,684600,684600,16060000,238200000,32940000,5078000,5078000,6342000,0,0,0,27520000,16060000,0,16060000,6348000,14812000,0,0,809100,2169000,0,672300,25430000,2732000,0,0,6718000,28069000,938200,0,0,6432000,9638400,857300,2169000,1961000,0,6207000,9162000,0,0,0,0,12870000,0,0,0,1240000,875600,27520000,7640000,30460000,0,0,211768400,0,0,0,0,0,0,1005000,2936000,457200,1869000,13954600,1555000,1729000,0,0,2379000,0,2366000,1758000,6157000,24120000,2377000,0,1198000,952800,0,0,0,11670000,11980000,0,59550000,2213000,0,43920000,27520000,0,0,0,0,30785000,653000,799200,653000,799200,7844000,26106000,0,0,0,0,7329000,0,48280000,0,28790000,12651000,13048000,0,13770000,0,30314000
"05_40549",95129600,0,12125000,0,0,3098000,17706000,0,8042000,0,6252000,124695000,103896000,95615000,0,0,0,0,159520000,210660000,11133000,5432000,11922000,0,4364000,0,5432000,1050420000,0,2182000,0,3837000,15890000,0,0,1298600,0,0,2710000,6648000,6648000,31515000,26877000,31515000,29880000,22460000,239280000,4647000,0,0,1644800,1221600,0,0,17214000,0,1167000,0,1370000,1720000,0,0,1167000,0,1720000,0,1370000,0,3711000,0,778100,1383000,0,0,778100,1383000,0,15564000,0,0,0,23844000,0,1515000,697600,1515000,848500,667600,0,719700,0,1515000,667600,719700,697600,848500,667600,0,719700,0,1515000,28340000,2682000,9102000,2216000,0,0,0,22031000,1910000,7967000,2775000,0,0,0,38150000,0,0,29249000,32019000,0,6137000,8079000,11230000,28215000,0,0,15768000,906500,906500,5432000,175070000,29880000,3034000,3034000,3974000,0,0,0,15768000,5432000,0,5432000,0,0,0,0,1245700,1310000,0,0,2142000,950900,0,365100,2748000,10370000,0,0,0,2337700,3132800,427300,1310000,759100,425600,9137000,2670000,0,0,723900,0,2125000,1038000,0,0,528700,0,15768000,5904000,19630000,0,0,136131600,0,13296000,0,0,0,0,3555000,1031000,1802000,886800,3343100,1208000,923800,0,0,1225000,0,1202000,0,4042000,14710000,2098000,0,751600,1579000,0,0,0,7437000,9214000,0,28370000,0,0,39840000,15768000,0,0,0,0,20210000,620200,666200,620200,666200,7312000,23358000,3711000,0,0,0,2525000,0,11476000,0,46230000,5493000,8728000,0,0,0,18579000
"06_41366",60720000,0,6555000,0,0,7768000,11943000,0,3294000,0,9264000,176120000,148488000,130280000,0,0,0,0,320160000,118849600,10374000,7026000,9675000,0,4160000,0,7026000,1621080000,3415000,2080000,4100000,4239000,52660000,0,0,2618000,0,0,1089000,10728000,6664000,66546000,18975000,66546000,25224000,22460000,480240000,11652000,0,0,3738000,1104400,0,0,93900000,0,1408000,0,1438000,1106000,0,0,1408000,0,1106000,0,1438000,0,3458000,0,870900,2528000,0,0,870900,2528000,0,8872000,0,0,0,19350000,0,1217000,0,1217000,1651000,2516000,0,0,0,1217000,2516000,0,0,1651000,2516000,0,0,0,1217000,28430000,1319800,6624000,3576000,0,4256000,0,30640000,0,9796000,2407000,0,0,0,42820000,0,0,45880000,34930000,0,11700000,8295000,11230000,19059000,0,0,15986000,700500,700500,7026000,270180000,25224000,2208000,2208000,3225000,0,0,0,15986000,7026000,0,7026000,5055000,11795000,0,0,1369000,2585000,0,0,19860000,1573000,0,745100,5725000,24841000,0,1036000,0,6463700,6565600,1179000,2585000,0,0,5372000,8403000,0,0,0,0,8157000,0,0,0,1289000,0,15986000,4856000,35770000,0,0,195109600,0,21456000,0,0,0,0,939500,2305000,485100,1224000,9607000,1237000,1721000,0,0,2235000,0,901200,1755000,4179000,8838000,0,0,1024000,0,0,1255000,0,12050000,13470000,0,53920000,1080000,0,33632000,15986000,0,0,0,0,20895000,711000,668000,711000,668000,5180000,28884000,3458000,0,0,0,5055000,0,62600000,0,19140000,12741000,8320000,0,19210000,0,18245000
"07_41054",83570400,0,6560000,0,0,2192000,9938000,0,3816000,0,0,149475000,165710000,108295000,0,0,0,0,300240000,135222000,13833000,0,6702000,0,5100000,0,0,1271100000,0,2550000,2283200,2903700,10580000,13868000,0,1987800,0,0,835400,15681000,0,67928000,19512000,67928000,22119000,32140000,450360000,3288000,0,0,2370000,1234600,0,0,114960000,543000,1809000,0,1596000,1758000,0,543000,1809000,0,1758000,0,1596000,0,4611000,1369000,635400,2808000,0,1369000,635400,2808000,0,44080000,0,16135000,0,13404000,0,619000,0,619000,1174000,1202000,0,0,0,619000,1202000,0,0,1174000,1202000,0,0,0,619000,22450000,1137400,6726000,5227000,0,3244000,63850000,25777000,0,12330000,2241000,16430000,0,0,29371000,0,8678000,28320000,29023000,0,4486000,8123000,16070000,15897000,0,0,7398000,780700,780700,0,211850000,22119000,2242000,2242000,2234000,0,0,0,7398000,0,0,0,3579000,8351000,0,0,0,1385000,0,0,6987000,1099000,2604000,0,2566000,14723000,4001000,1518000,0,12559000,12467000,964500,1385000,0,0,6007000,3516000,0,0,0,0,5762000,0,0,0,715700,11080000,7398000,0,0,0,0,597324700,0,31362000,0,0,0,0,0,1514000,0,1234000,5120000,1161000,563700,0,0,0,0,3544000,0,2886000,6934000,0,0,0,1136000,0,0,0,11340000,9818000,8598000,45290000,1018000,0,29492000,7398000,0,0,0,48538000,14430000,621400,575700,621400,575700,4468000,24006000,4611000,0,0,0,7090000,0,76640000,510800000,18220000,12219000,10200000,0,0,0,0
"08_41367",98017600,7676000,8815000,0,0,11560000,14292000,0,2976000,0,15036000,200515000,148670000,147795000,0,0,0,0,329120000,183413800,0,40180000,8553000,0,5800000,0,40180000,1.872e+09,0,2900000,5436000,4512000,96970000,71340000,0,2432000,0,0,835600,13725000,0,106326000,23751000,106326000,31860000,29360000,493680000,17340000,0,0,4006000,1161400,3838000,0,51852000,0,2414000,1541000,1579000,2122000,0,0,2414000,1541000,2122000,0,1579000,0,0,0,600300,3062000,0,0,600300,3062000,0,10400000,0,0,0,17106000,0,557300,0,557300,2409000,3427000,0,0,0,557300,3427000,0,0,2409000,3427000,0,0,0,557300,43450000,1535600,8076000,4575000,0,5494000,0,34831000,0,11190000,2510000,0,0,0,41040000,1581000,0,62390000,29822000,0,14508000,10710000,14680000,22805000,0,0,9018000,804200,804200,40180000,3.12e+08,31860000,2692000,2692000,2851000,0,0,0,9018000,40180000,0,40180000,5859000,13671000,0,0,2136000,3858000,0,0,8810000,2203000,0,0,3404000,29192000,0,0,0,5969700,3990400,1908000,3858000,1099000,0,5407000,7616000,0,0,0,0,8276000,0,0,0,815400,0,9018000,0,40460000,0,0,229421400,0,27450000,0,0,0,0,827300,2583000,610800,1497000,9237000,2342000,1159000,0,0,3308000,0,0,2158000,5870000,21790000,2846000,0,1540000,0,0,0,0,9807000,12540000,0,61480000,1829000,1093000,42480000,9018000,0,0,0,249690000,29350000,630600,706100,630600,706100,5120000,23880000,0,0,0,0,1769000,0,34568000,0,21830000,18555000,11600000,0,18650000,0,30022000
"09_41071",113820000,0,5990000,0,0,2678000,11576000,0,4508000,0,8694000,145890000,134606000,109710000,59742000,0,0,0,213920000,101620800,21621000,20220000,4797000,0,3384000,0,20220000,1039200000,0,1692000,2740000,3078000,25180000,0,0,1698600,0,0,0,11301000,0,57913000,29817000,57913000,28953000,25500000,320880000,4017000,0,0,1978800,1492200,0,0,25338000,0,1046000,1965000,1466000,1196000,666400,0,1046000,1965000,1196000,666400,1466000,0,7207000,0,899300,1833000,0,0,899300,1833000,0,6084000,0,0,0,9594000,0,1177000,0,1177000,1234000,2210000,0,616200,0,1177000,2210000,616200,0,1234000,2210000,0,616200,0,1177000,15740000,1133600,7146000,3767000,39828000,2553000,0,25560000,0,8247000,2814000,0,0,0,40020000,0,0,70210000,27160000,0,5544000,8140000,12750000,18509000,0,0,8476000,1110000,1110000,20220000,173200000,28953000,2382000,2382000,1599000,0,0,0,8476000,20220000,0,20220000,6111000,14259000,0,0,1416200,2122000,0,0,9052000,1581000,0,403900,4980000,19023500,0,0,0,2791000,4345500,1320000,2122000,0,0,4398000,9559000,0,0,0,0,5820000,733000,0,0,10650000,0,8476000,3059600,21290000,0,0,137202200,0,22602000,0,0,0,0,1934000,2074000,1385000,1019000,4598000,1695000,669100,0,0,1638000,0,754900,744300,2727000,8111000,1889000,0,0,0,0,0,0,10590000,8927000,0,47970000,1290000,0,38604000,8476000,0,0,0,0,13635000,749400,771400,749400,771400,4384000,23028000,7207000,0,0,0,2177000,0,16892000,0,17390000,9876000,6768000,0,6672000,0,20063000
"10_40545",80814400,0,9365000,0,2850300,16388000,6762200,0,4670000,0,9210000,95713000,25144000,80217000,22476000,0,0,0,181240000,112680000,16608000,43140000,11502000,0,2164000,0,43140000,1173960000,0,1082000,0,4014000,37160000,1038400,0,0,0,0,3047000,8313000,60810000,43897800,35670000,43897800,17241000,0,271860000,24582000,0,0,1903000,1194000,0,0,0,0,0,1771000,1806000,0,1227000,0,0,1771000,0,1227000,1806000,0,5536000,0,797900,370300,0,0,797900,370300,0,5180000,0,0,0,23004000,0,2037000,371000,2037000,694500,667200,0,834700,3066000,2037000,667200,834700,371000,694500,667200,0,834700,3066000,2037000,19690000,2390000,10050000,2771000,14984000,0,0,17593000,2307000,3143000,1815000,0,0,0,30513000,0,0,50550000,49610000,0,6025000,8807000,0,11002300,0,0,9604000,1147000,1147000,43140000,195660000,17241000,3350000,3350000,3834000,0,0,0,9604000,43140000,0,43140000,1993200,4650800,0,0,1820800,1657000,0,0,3652000,1049000,0,629200,1537000,10398600,308600,0,0,2935800,5527900,0,1657000,0,0,5961000,4202000,0,376000,1357000,0,2228000,425200,0,0,419400,0,9604000,3283200,27120000,0,0,60264400,0,16626000,0,0,0,0,805800,424300,2344000,0,3302000,1615000,993200,0,0,1361000,3084000,1011000,843300,2042000,7342000,4092000,0,0,1223000,0,902200,0,1904000,6094000,0,23150000,0,0,22988000,9604000,0,0,0,3634400,10210000,686500,749900,686500,749900,5840000,14142000,5536000,0,0,0,3551000,0,0,0,28730000,0,4328000,0,0,0,40269000
"11_40500",128840000,0,9400000,0,0,3888000,10548000,74160000,4522000,9232000,8682000,151700000,95648000,121500000,42520000,0,0,0,143680000,110640000,12183000,32980000,10134000,0,4228000,0,32980000,912600000,0,2114000,0,0,43830000,0,48940000,1350200,0,13150000,37790000,7164000,5554000,3076000,14484000,3076000,7152000,15902000,215520000,5832000,0,26253000,2398000,951800,0,195760000,0,0,1122000,0,1489000,817800,0,0,1122000,0,817800,0,1489000,0,4061000,523800,604600,1202000,0,523800,604600,1202000,0,0,0,0,52600000,20268000,0,1668000,0,1668000,562500,527700,1567000,686200,0,1668000,527700,686200,0,562500,527700,1567000,686200,0,1668000,28200000,1354400,59080000,2388000,42520000,0,0,27320000,3847000,7111000,3374000,0,0,0,33013000,0,0,56710000,21856000,0,6984000,5754000,7951000,16553000,0,0,7200000,818900,818900,32980000,152100000,7152000,29540000,29540000,3378000,130080000,0,8568000,7200000,32980000,0,32980000,0,0,0,0,701200,0,3559000,0,2552000,1407000,0,641100,978400,14114000,503200,0,0,0,13663000,499200,0,487100,0,7331000,3672900,0,0,0,0,2258000,1155600,0,0,3054000,3144000,7200000,4076000,18740000,0,0,141888800,5534000,14328000,0,11068000,22136000,52240000,2984000,848200,0,976200,6145000,1248000,0,20200000,0,0,0,0,0,2772000,8447000,3042000,0,0,0,9419000,975800,0,7340000,9943000,0,23530000,0,0,9536000,7200000,0,16602000,0,0,13860000,692300,0,692300,0,0,0,4061000,0,0,0,2002000,21260000,0,0,21670000,4515000,8456000,0,0,41850000,30144000
"12_41365",75600000,0,6305000,0,0,6572000,12630000,0,3698000,0,19866000,174480000,128530000,135520000,28626000,0,0,0,257520000,287652600,13839000,35540000,13896000,0,7004000,0,35540000,1598880000,3515000,3502000,5680000,3576000,40680000,0,0,2034000,0,0,783700,13290000,6704000,86538000,24561000,86538000,23457000,17658000,386280000,9858000,0,0,3340000,1060000,0,0,36168000,0,1643000,2385000,1297000,1404000,856900,0,1643000,2385000,1404000,856900,1297000,0,4613000,0,671300,2256000,0,0,671300,2256000,0,4376000,0,0,0,27792000,0,1330000,1060000,1330000,2351000,2327000,0,677300,0,1330000,2327000,677300,1060000,2351000,2327000,0,677300,0,1330000,73810000,1327800,7446000,4430000,19084000,3548000,0,3.1e+07,1717000,10610000,4310000,0,1010000,0,39290000,0,0,64480000,40400000,0,12975000,10370000,8829000,19983000,0,0,8738000,973300,973300,35540000,266480000,23457000,2482000,2482000,4632000,0,0,0,8738000,35540000,0,35540000,8487000,19803000,0,0,575600,1414000,0,0,7220000,1890000,0,358800,6133000,20406200,516500,0,0,2633000,5192000,1252000,1414000,2185000,0,4919000,8765000,0,0,1351000,0,10030000,731800,0,0,1424000,522500,8738000,6368000,44240000,0,0,150693000,0,26580000,0,0,0,0,1572000,1658000,770600,832600,9163900,1718000,1272000,0,0,1715000,0,2306000,1631000,8518000,32950000,2797000,0,1467000,0,0,0,0,7626000,12580000,0,49630000,1733000,0,31276000,8738000,0,0,0,0,42590000,604900,854400,604900,854400,5176000,18678000,4613000,0,0,0,7481000,0,24112000,0,15220000,14460000,14008000,0,21120000,0,30044000
"13_41067",131586400,21472000,10620000,0,0,0,14384000,0,4782000,0,18990000,153060000,95914000,120040000,0,0,0,0,207600000,214746600,12894000,0,28230000,0,5142000,0,0,1535400000,3892000,2571000,3720000,4905000,38940000,0,0,0,0,0,0,10326000,7771000,67278000,34470000,67278000,26847000,9626000,311400000,0,0,0,3196000,1520800,10736000,0,27864000,0,701700,0,1592000,1245000,0,0,701700,0,1245000,0,1592000,0,4298000,0,845200,1196000,0,0,845200,1196000,0,5488000,9008000,0,0,56460000,0,1093000,0,1093000,1746000,1816000,0,625700,0,1093000,1816000,625700,0,1746000,1816000,0,625700,0,1093000,60710000,1803400,12072000,3442000,0,2034000,0,27310000,0,7713000,3972000,0,789700,0,41558000,0,0,25809000,27870000,0,12232000,9426000,4813000,22215000,0,0,15732000,852900,852900,0,255900000,26847000,4024000,4024000,9410000,0,0,0,15732000,0,0,0,5520000,12880000,0,0,1407500,1945000,0,0,21610000,1917000,0,685700,3926000,15550800,0,0,0,3076700,8115200,0,1945000,1454000,0,3843000,10120700,0,0,1516000,0,3573000,1106000,0,0,565300,0,15732000,5584000,0,0,0,134262200,0,20652000,0,0,0,0,2010000,1863000,491400,520700,8843000,1747000,1141000,0,0,2088000,0,3635000,1377000,5595000,27150000,2689000,0,1192000,931700,0,0,0,5643000,8318000,0,51130000,952000,0,35796000,15732000,0,0,0,0,27975000,846800,724000,846800,724000,7032000,22380000,4298000,0,0,0,10710000,0,18576000,0,26040000,6255000,10284000,13512000,27180000,0,31168000
