"","(1E,4Z,6E)-5-hydroxy-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,4,6-trien-3-one","(2S)-2-[[(2S)-2-azaniumyl-4-methylpentanoyl]amino]-3-phenylpropanoate","(7r)-4,7-Dihydroxy-N,N,N-Trimethyl-10-Oxo-3,5,9-Trioxa-4-Phosphaheptacosan-1-Aminium 4-Oxide","(R)-(+)-Atenolol","(R)-Baclofen","(R,S)-ANATABINE","1,5-isoquinolinediol","1-Isomangostin","1-O-palmitoyl-sn-glycero-3-phosphocholine","1-Oleoylglycerophosphocholine","1-Palmitoylglycerophosphocholine","1-oxo-1,2-dihydroisoquinoline-3-carboxylic acid","1-phenyl-1H-pyrazole-5-carboxylic acid","1453-93-6","15861-40-2","2,3-Diaminonaphthalene","2,3-Diaminonaphthalene (Chimeric precursor selection)","2,6-DIMETHYLQUINOLINE","2-(1H-imidazol-2-yl)benzoic acid","2-Amino-1-phenylethanol","2-methyl-3-(pyridin-2-yl)benzoic acid","2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxylic acid","2-phenyloxazole-5-carboxylic acid","2227803-25-8","23012-16-0","2971-31-5","3-(2-aminocyclohexyl)propanoic acid","3-Acetamidobenzoic acid","3-Acetamidophenol","3-Cyclopropylquinoline-2-carboxylic acid","3-isomangostin","34014-51-2","4-Aminoquinoline-2-carboxylic acid","4-hydroxyisoquinoline-3-carboxylic acid","4-methyl-2-propyl-1,3-oxazole-5-carboxylic acid","4-methylquinoline-6-carboxylic Acid","5-methyl-1-(4-methylphenyl)-1H-pyrazole-4-carboxylic acid","5-methyl-2-(3-methylphenyl)-1H-imidazole-4-carboxylic acid","76474-56-1","8-Aminooctanoic acid","8-HYDROXYQUINOLINE","8-HYDROXYQUINOLINE (Chimeric precursor selection)","8-methylquinoline-5-carboxylic acid","883715-21-7","890-38-0","961-07-9","98483-00-2","Ala-phe","BEPHENIUM","Benzododecinium","Bisdemethoxycurcumin","Butylscopolamine","CHEMBL5028245","CID 6993119","Cer 18:1;2O/16:0","Cer 18:5;2O/9:0;O","Cer 27:5;3O","Cer 34:1;2O","Columbamine","Cratoxyarborenone E","Cratoxylone","D-Tryptophan","D-phenylalanine","D-tyrosine","DL-Tryptophan","Demethoxycurcumin","Fendizoic acid","Feruloylputrescine","GARCINONE D","GLYCOCHENODEOXYCHOLIC ACID","Garcinone C","Glycitein","Glycocholic acid","Glycoursodeoxycholic acid","H-ILE-TRP-OH","H-gamma-glu-phe-oh","Hispidol","INDOLE-3-CARBOXALDEHYDE","INDOLE-3-CARBOXALDEHYDE (Chimeric precursor selection)","Indolizine-1-carboxylic acid","Jatrorrhizine","Jineol","L-phenylalanine","L-tryptophan","L-tyrosine","LETESTUIANIN B","LEVOFLOXACIN","LPC 16:0","LPC 16:1","LPC 18:0","LPC 18:1","LPC 18:2","LPC 18:3","LPE 16:0","LPE 18:0","Levocetirizine","METHYL NICOTINATE","Moxacin","N-(5-acetamidopentyl)acetamide","N-Valylphenylalanine","NCGC00024645-01","NCGC00380823-01!2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid","NCIOpen2_005816","Oleamide","PAF C-16-d4","Phe-ala","Piperolein B","Robinetin","SCHEMBL3706","SCHEMBL424527","SPB 18:0;2O","SPB 18:1;2O","Solanidine","Sulfachloropyridazine","TAUROCHENODEOXYCHOLIC ACID","TAUROCHOLIC ACID","TAURODEOXYCHOLIC ACID","Tauroursodeoxycholic acid","Tert-butyl N-[2-(1H-indol-3-yl)-1-(methylcarbamoyl)ethyl]carbamate","UFIPRAZOLE","VORTIOXETINE","Val-Tyr","Vidarabine","Z2961795382","abacavir","amitriptyline","amoxicillin","aspartame","atenolol","atorvastatin","baclofen","berberine","celecoxib","cetirizine","cholic acid","ciprofloxacin","curcumin","daidzein","diphenhydramine","diprotin A","doxepin","doxycycline","enoxolone","famotidine","fluconazole","gabapentin","gamma-Mangostin","genistein","glycodeoxycholic acid","hydroxyzine","lisinopril","loperamide","m-Tyramine","metoprolol","minocycline","minocycline zwitterion","montelukast","mycophenolic acid","naringenin chalcone","nortriptyline","octopamine","ofloxacin","piperine","protriptyline","ranitidine","sertraline","sphingosine","sulfadimethoxine","sulfamethazine","sulfamethizole","sulfapyridine","trans-Zeatin","trazodone","trimethoprim","tryptamine","tyramine","tyramine (Chimeric precursor selection)","valsartan","sample_clean"
"PLCL17523",0,51184,3147,0,0,0,2198,5604,4564,11850,9436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2802,0,0,0,0,0,0,0,3036,0,0,0,0,6444,5568,0,5160,0,0,91380,26440,0,0,0,655,0,30880,655,5520,2802,2802,0,0,1500,0,20270,0,8610,0,0,0,12270,4144,0,0,4287,0,0,0,6594,8280,13188,0,0,3500,2024,0,1400,0,1049,1185,0,0,0,3404,0,0,2764,0,0,0,0,0,0,7343,0,0,0,0,0,0,0,0,0,4659,0,3106,7765,0,0,0,6748,0,0,0,0,11056,10003,0,4320,0,0,0,0,9064,0,0,0,0,0,0,0,0,0,0,13180,0,0,0,38230,0,8410,0,0,0,0,0,0,9460,0,15630,0,0,0,0,72370,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL17523"
"PLCL17524",0,15228,3495,0,0,54400,0,5940,2808,0,4212,0,0,0,0,0,0,3095,0,24260,3144,0,0,3492,0,0,0,0,5270,524,2970,0,0,0,0,0,1746,1746,0,0,0,0,0,6118,4200,0,2010,0,0,33738,39760,0,0,0,638,0,1611,638,2124,2970,2970,0,0,2055,0,8500,0,0,0,0,0,0,0,0,0,1644,0,0,0,0,3186,0,0,0,4795,0,0,702,0,1165,0,0,0,0,2299,0,0,2362,0,0,0,0,0,0,8155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,0,0,24240,0,9448,3836,0,0,0,0,1014,0,15236,0,0,0,0,0,0,0,0,0,0,7750,0,0,0,19540,0,0,0,0,0,0,0,0,6710,0,3234,0,0,0,0,41010,0,0,0,0,236000,0,0,0,81600,0,0,0,"PLCL17524"
"PLCL17528",1731,0,3708,0,0,0,0,5316,5084,47620,7626,0,0,0,18597,0,0,0,0,6078,0,0,0,0,0,0,0,0,0,2736,2658,0,0,0,0,0,0,0,8052,0,6199,12398,0,6378,19620,3356,0,0,0,363120,18900,0,0,0,583,0,0,583,0,2658,2658,0,0,1803,0,67700,0,0,0,0,0,0,58121,0,1214,0,0,6199,6199,0,0,0,0,0,4207,5368,0,1271,0,1236,4762,0,0,0,2693,5852,0,7698,0,0,0,0,0,0,8652,0,0,0,0,0,0,0,0,0,18315,0,12210,30525,9712,0,0,1094,3356,0,0,0,30792,0,0,0,0,0,0,2508,0,0,4039,0,0,0,0,0,3860,0,0,6570,0,3948,0,9000,0,0,27736,0,10230,1705,0,0,0,0,5304,0,0,0,6250,29640,0,0,0,0,0,0,0,0,0,27736,13868,0,"PLCL17528"
"PLCL17532",0,0,3396,0,0,32228,10070,5340,0,0,0,0,0,0,2676,0,0,3980,0,8824,0,0,0,0,0,0,0,0,0,0,2670,0,0,0,0,0,0,0,0,0,892,1784,0,9978,6252,2084,0,2820,0,44718,46930,0,0,0,539,0,512,539,0,2670,2670,0,0,0,0,6850,0,0,0,0,0,0,7574,0,0,1560,0,892,892,30210,0,60420,0,0,0,0,0,0,0,1132,0,0,0,0,4194,0,0,2486,0,0,0,0,0,0,7924,1128,0,0,0,0,0,3281,0,0,0,0,0,0,0,0,0,1812,2084,0,37190,0,9944,3640,0,0,0,0,0,0,8968,5904,0,0,0,0,0,0,2904,0,0,5590,0,0,0,41720,0,0,0,0,0,0,0,0,0,0,4284,0,0,0,0,20530,32810,0,0,0,112900,0,0,0,48342,0,0,0,"PLCL17532"
"PLCL17534",0,6615,2505,0,0,0,0,5068,5550,17980,13020,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,6890,0,2534,0,0,0,0,0,0,0,0,0,0,0,0,11056,19712,0,2896,3235,0,100740,45000,0,0,0,648,0,6256,648,8832,2534,2534,0,0,2163,0,14560,0,0,0,0,0,4404,6769,0,0,2022,6028,0,0,0,13248,0,0,0,5047,0,0,1857,0,835,1798,0,0,0,5059,0,0,2934,0,0,0,0,0,0,5845,1294,0,0,0,0,0,0,0,0,2946,0,1964,4910,0,0,0,3536,0,0,0,0,11736,4718,0,7496,0,16910,0,0,3732,0,0,9042,0,0,0,38520,11112,0,0,9710,0,0,0,16540,0,7960,0,0,0,0,0,102300,0,0,6942,0,0,0,8820,67690,0,0,0,0,0,0,45470,0,0,0,0,0,"PLCL17534"
"PLCL17693",0,34181,0,1574,0,0,0,5028,9308,19190,13962,0,0,9192,0,0,0,0,0,3917,9936,0,0,0,0,0,0,0,17260,4692,2514,0,0,0,9688,0,0,0,5976,1550,0,0,0,8716,28780,0,13506,2545,0,108120,30920,0,0,0,717,0,29170,717,2072,2514,5598,0,0,3924,0,11030,0,21340,4626,0,3012,0,0,0,0,11310,0,0,0,0,3108,0,0,0,9156,3984,6240,2327,0,0,1919,0,0,0,4378,0,0,16860,0,0,0,0,0,0,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14724,0,6771,0,0,67440,26390,6296,11736,0,0,0,0,6256,19088,0,0,0,0,0,0,0,0,0,7350,4518,0,0,0,0,35280,0,0,0,0,0,0,0,0,23622,1560,0,0,16550,147400,0,0,0,0,0,0,0,6430,0,0,0,0,"PLCL17693"
"PLCL17695",0,0,3408,1702,0,0,0,6628,0,0,0,0,0,0,0,0,0,0,0,913,3336,0,0,0,0,0,0,0,7320,556,3314,0,0,0,0,0,0,0,0,0,0,0,0,6086,5604,0,0,0,0,18132,23010,0,0,0,633,0,0,633,0,3314,3314,0,0,2130,0,7410,0,0,0,0,0,0,3920,0,0,7746,0,0,0,0,0,0,0,0,4970,0,0,0,0,1136,0,16560,0,0,2795,7686,0,1036,0,0,0,0,0,0,7952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10064,0,0,0,0,4144,18074,6808,0,0,0,0,3294,0,13808,0,0,0,0,0,0,0,0,9490,7380,0,0,0,8780,0,0,96400,0,0,0,0,0,0,0,17910,0,0,0,48560,20940,0,0,0,0,0,2712,0,0,0,96400,48200,0,"PLCL17695"
"PLCL17696",0,0,3387,0,0,0,0,5796,0,0,0,0,0,0,0,0,0,0,0,0,6864,0,0,0,0,0,0,0,6560,1144,2898,0,0,0,4088,0,0,0,7002,0,0,0,0,7862,0,0,0,2570,0,0,26870,0,0,0,663,0,0,663,0,2898,2898,0,0,1617,0,0,0,0,0,0,0,0,0,0,0,1761,0,0,0,0,0,0,0,0,3773,4668,4408,0,0,1129,0,0,2646,0,3344,0,0,0,0,0,0,0,0,0,7903,1028,0,0,0,40780,0,0,0,0,0,0,0,0,0,0,0,24900,0,0,0,0,0,4109,0,0,0,0,0,0,0,5800,0,0,0,0,0,0,0,0,0,7810,0,0,0,0,0,0,9432,0,0,0,0,0,0,0,25476,1102,0,0,15990,0,0,0,0,0,0,4660,0,0,0,9432,4716,0,"PLCL17696"
"PLCL17710",0,39620,2751,1980,0,0,0,5264,3864,20720,5796,0,0,7014,1875,0,0,0,0,1635,11244,0,0,0,0,0,0,0,17530,3970,2632,0,0,0,9240,0,0,0,4920,1053,625,1250,0,8294,51880,2360,9266,2800,0,116700,45660,0,0,0,504,0,17680,504,12024,2632,4728,0,1256,5652,0,15090,0,20440,3144,0,0,0,0,0,945,8025,0,625,625,0,18036,0,5024,0,13188,3280,5064,966,0,917,2072,0,0,0,3583,0,0,8304,0,0,0,0,0,0,6419,1120,0,0,0,0,0,0,0,0,0,0,0,0,7560,0,0,12710,2360,0,0,0,33216,18725,7920,8208,0,0,0,0,15728,16248,0,0,0,0,0,0,3896,0,0,7570,0,0,0,8920,0,10700,40640,0,0,0,4088,0,0,0,20082,1266,0,0,11700,53260,0,0,0,0,0,0,0,0,0,40640,20320,0,"PLCL17710"
"PLCL17718",0,0,3261,0,0,0,0,5884,0,0,0,0,0,0,3963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2942,0,0,0,0,0,0,0,0,0,1321,2642,0,6916,0,0,0,2625,0,19158,27420,0,0,0,644,0,0,644,0,2942,2942,0,0,0,0,5200,0,0,0,0,0,0,0,0,0,0,0,1321,1321,0,0,0,0,0,0,0,0,0,0,1087,0,0,0,0,3272,0,0,0,0,0,0,0,0,0,7609,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,2780,0,0,0,0,0,0,0,0,0,0,7620,0,0,0,18800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLCL17718"
